,0
0,1.0
1,1.0
2,1.0
3,2.0
4,2.0
5,1.0
6,1.0
7,1.0
8,2.0
9,2.0
10,2.0
11,1.0
12,1.0
13,2.0
14,1.0
15,1.0
16,1.0
17,1.0
18,1.0
19,1.0
20,2.0
21,2.0
22,1.0
23,2.0
24,2.0
25,1.0
26,2.0
27,2.0
28,1.0
29,1.0
30,1.0
31,2.0
32,1.0
33,2.0
34,1.0
35,2.0
36,1.0
37,1.0
38,1.0
39,2.0
40,1.0
41,1.0
42,1.0
43,2.0
44,1.0
45,1.0
46,1.0
47,1.0
48,2.0
49,2.0
50,1.0
51,1.0
52,2.0
53,1.0
54,2.0
55,1.0
56,1.0
57,1.0
58,1.0
59,1.0
60,2.0
61,1.0
62,2.0
63,1.0
64,2.0
65,1.0
66,2.0
67,1.0
68,2.0
69,2.0
70,1.0
71,2.0
72,1.0
73,2.0
74,1.0
75,2.0
76,2.0
77,1.0
78,2.0
79,1.0
80,2.0
81,2.0
82,1.0
83,2.0
84,2.0
85,2.0
86,1.0
87,1.0
88,2.0
89,2.0
90,2.0
91,2.0
92,1.0
93,1.0
94,2.0
95,1.0
96,1.0
97,2.0
98,2.0
99,2.0
100,1.0
101,1.0
102,1.0
103,1.0
104,2.0
105,2.0
106,2.0
107,1.0
108,1.0
109,1.0
110,2.0
111,1.0
112,1.0
113,1.0
114,1.0
115,2.0
116,1.0
117,2.0
118,2.0
119,2.0
120,1.0
121,1.0
122,1.0
123,1.0
124,1.0
125,1.0
126,1.0
127,1.0
128,1.0
129,2.0
130,1.0
131,1.0
132,1.0
133,2.0
134,1.0
135,2.0
136,2.0
137,2.0
138,2.0
139,1.0
140,1.0
141,1.0
142,1.0
143,2.0
144,2.0
145,1.0
146,1.0
147,1.0
148,1.0
149,2.0
150,2.0
151,2.0
152,1.0
153,1.0
154,1.0
155,2.0
156,2.0
157,1.0
158,2.0
159,1.0
160,1.0
161,2.0
162,2.0
163,1.0
164,2.0
165,1.0
166,1.0
167,1.0
168,1.0
169,1.0
170,1.0
171,2.0
172,1.0
173,2.0
174,1.0
175,1.0
176,1.0
177,1.0
178,2.0
179,1.0
180,2.0
181,1.0
182,1.0
183,1.0
184,2.0
185,2.0
186,2.0
187,1.0
188,2.0
189,2.0
190,1.0
191,1.0
192,2.0
193,2.0
194,1.0
195,2.0
196,2.0
197,1.0
198,1.0
199,2.0
