,0,1
0,5.1790716,1.778581488
1,3.783727156,2.994978273
2,-1.549238007,-3.85595074
3,1.604353692,-4.356962476
4,-1.358425993,-5.279838994
5,2.091369607,-4.391801484
6,5.650709672,0.352000792
7,2.067347233,-4.537578742
8,4.146423772,2.304470645
9,4.829140115,-1.308306
10,-3.119568928,-4.244778328
11,4.848582282,-2.164211805
12,-1.972254198,-4.161567132
13,-3.921101844,-2.341485494
14,2.671563508,-4.594547797
15,0.250277507,-5.296032293
16,3.206733984,-3.272614822
17,-1.087791645,-4.464176285
18,0.969422435,-4.504946211
19,4.399003226,2.902255291
20,-2.326032048,-4.232115874
21,4.077159215,3.038250601
22,0.157172608,-4.825882349
23,-4.344840689,-2.719428104
24,4.028525006,-3.558846515
25,4.000820164,3.809088462
26,1.871838659,3.726329283
27,-2.09401893,-4.975025417
28,2.489563505,4.816174013
29,1.61457014,-4.953417
30,4.57208535,-1.400035796
31,5.070356052,-1.077618875
32,4.026273849,-1.406448503
33,4.171010644,-1.88676654
34,-2.300603069,-4.130729869
35,-0.719151389,-4.807744294
36,-3.454683772,-2.842662938
37,-1.408885053,-5.387019054
38,4.754201222,-0.303910136
39,3.789932495,1.262893563
40,0.650373391,-4.680101124
41,2.956922098,3.797318734
42,-3.625352441,-3.746566079
43,1.613048093,-3.79371478
44,-1.528798771,-4.394871084
45,2.16405366,-4.785080711
46,4.33698299,2.333555667
47,3.239973106,3.305313372
48,-2.127047707,-4.947877414
49,3.946467915,2.848701932
50,3.417823062,3.818347636
51,1.917921113,-4.10255525
52,4.14339037,-2.751940366
53,3.983521159,-3.661619763
54,-3.908678658,-2.937609182
55,4.223517272,2.045545688
56,-1.618732629,-4.570961027
57,0.369077057,-4.50601128
58,-4.221815017,-3.615514617
59,2.612091955,-4.338543744
60,4.594553638,1.848883909
61,4.717626613,0.332255607
62,1.163770854,-4.77531087
63,4.785307618,-1.882056979
64,5.067241507,-0.861878881
65,3.544875883,4.155539851
66,-0.871395008,-4.922620451
67,5.709829665,1.179774911
68,0.581732261,-4.982039673
69,-0.874938875,-5.002081471
70,-0.333399745,-5.583705328
71,-2.496638959,-4.801545083
72,-1.298327137,-5.027001815
73,0.524156241,-4.873435847
74,3.017978961,4.225554468
75,-4.812123516,-2.259488169
76,4.246887455,-2.067252329
77,3.416969302,4.535420857
78,-0.852537305,-4.307497827
79,-5.099421702,-1.868091186
80,2.247448788,-3.716961521
81,2.178478887,-3.841125631
82,3.592893553,3.792855357
83,1.228416492,-5.113279266
84,3.213322272,-3.903999695
85,4.634265152,0.115094468
86,1.234339738,-4.69017881
87,-4.37908972,-2.789768771
88,3.207778982,-4.516478322
89,4.510785232,1.638273129
90,1.783038094,-5.226149147
91,0.204700841,-5.333844016
92,3.386130784,-3.047293108
93,2.485683442,4.097664638
94,-4.341324178,-2.539875123
95,2.649833372,5.017799099
96,-1.118180761,-4.77801158
97,2.040006534,-5.015704415
98,-4.325764161,-2.165109786
99,4.981038848,-1.854022671
100,3.773922349,-3.980873788
101,-1.838355896,-4.905780351
102,4.267998879,-2.097793093
103,4.34693234,2.756419641
104,3.097504911,-4.219001618
105,1.965363071,-4.677328562
106,-2.331858229,-4.630351072
107,-4.611241356,-1.755623198
108,4.383314023,-0.305432472
109,1.936839523,4.506118731
110,3.121948538,3.629238903
111,2.801725195,-2.889056305
112,-5.171120694,-2.309867382
113,2.731385999,4.4775822
114,4.755436383,-1.178500157
115,4.282195015,2.300332388
116,-3.015048855,-4.56191616
117,0.736649444,-5.206560552
118,-3.31433293,-3.277226007
119,-0.961802726,-5.146704811
120,3.248476493,-3.370860432
121,3.224060061,4.202289317
122,3.010175369,-4.091885822
123,4.820050828,-2.684413004
124,2.516490023,-4.430121569
125,-3.833418202,-2.845329763
126,-4.031873216,-3.308039437
127,-4.688267279,-2.189650856
128,3.580232864,-3.430804824
129,-0.276865608,-5.119477701
130,4.076883347,2.919980052
131,4.878438253,2.142023283
132,5.236891735,1.792912503
133,-4.156919267,-3.067925961
134,3.352723869,4.003291143
135,0.081035289,-5.281612987
136,5.21114921,2.051545382
137,-2.662520737,-4.19746406
138,4.749428384,-0.567465776
139,-2.674639293,-4.682599973
140,-2.902673236,-4.491444171
141,5.923936384,-0.580716661
142,4.698194718,1.458646503
143,4.820622938,2.776819399
144,-3.908741868,-3.300229538
145,-0.122143392,-5.582752324
146,3.334497317,3.292016986
147,0.25459474,-4.77457442
148,4.953093216,2.274670191
149,3.320637231,4.155366631
150,-1.185066044,-4.708923322
151,4.533915177,2.063392393
152,2.612100683,4.865238903
153,2.337168419,3.841839995
154,5.269436532,-2.331089869
155,1.983883779,-4.819375468
156,2.416979214,4.664492923
157,2.559488545,4.005014067
158,1.531836069,-4.050546227
